CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,sinal_id,pilar,nome,severidade,peso,valor_observado,limiar,limiar_sentido,materialidade_regra,materialidade_rs,meses_consecutivos,persistencia_min_meses,persistencia_atendida,meses_com_disparo,ultimo_mes_disparo,tipo_evidencia
24546098000145,GII GESTAO INTELIGENTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,296537103.08,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,285420943.46,1,3,False,3,2026-06-30,observado
24552987000115,NDMP I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,101456182.22,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,101456182.22,7,1,True,10,2026-06-30,observado
24552987000115,NDMP I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,101456182.22,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.43116197505251735,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,39467025.24,8,2,True,8,2026-06-30,derivado
24796670000124,LUDU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITÓRIOS MULTISEGMENTOS,68569682.14,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CN-05,3. Concentração,Ativo composto quase inteiramente por cotas de outros FIDCs,baixa,1,0.99999949193489,0.9968472480623022,>=,PL >= R$ 50 mi,68632900.76,13,3,True,13,2026-06-30,observado
24976450000182,VALE 40 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61412113.39,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,alta,6,-49.23,-3.561999999999999,<=,PL >= R$ 50 mi,29166757.39986364,1,2,False,1,2026-06-30,observado
25043891000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE III,520230993.39,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,IC-06,7. Inconsistências contábeis e econômicas,Descolamento entre patrimônio e carteira em 12 meses,média,3,0.3133622295953163,0.23811848877330238,>=,PL >= R$ 100 mi,141911069.11,1,2,False,2,2026-06-30,derivado
25162160000168,LEX FINANCIAL INVESTMENTS FIC FIDC,155822003.65,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,GV-02,4. Governança e conflitos,Gestor e administrador na mesma pessoa jurídica,média,3,1.0,1.0,>=,PL >= R$ 50 mi,155822003.65,13,3,True,13,2026-06-30,observado
25167283000191,KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,191330728.55,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),191330728.55,12,3,True,12,2026-06-30,observado
25167283000191,KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,191330728.55,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,191330728.55,8,1,True,8,2026-06-30,observado
25167283000191,KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,191330728.55,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,IC-06,7. Inconsistências contábeis e econômicas,Descolamento entre patrimônio e carteira em 12 meses,média,3,0.7462812365301565,0.23811848877330238,>=,PL >= R$ 100 mi,105715215.64000002,5,2,True,10,2026-06-30,derivado
25246617000112,DIP FINANCING 11 FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,7,1,True,7,2026-06-30,observado
25248974000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA,56139932.1,OLIVEIRA TRUST DTVM S.A.,DI-02,5. Integridade dos dados e reportes,Divergência entre direitos creditórios da tab I e das tabs V/VI,média,3,3.053274120706325,0.4017465666657221,>=,DC >= R$ 50 mi,164504169.8,4,3,True,12,2026-06-30,derivado
25248974000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA,56139932.1,OLIVEIRA TRUST DTVM S.A.,QA-01,1. Qualidade do ativo,Inadimplência abrangente no topo do mercado,alta,6,0.7038717570430615,0.3593440265166055,>=,DC (tab I) >= R$ 50 mi,153713010.84,4,3,True,12,2026-06-30,derivado
25248974000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA,56139932.1,OLIVEIRA TRUST DTVM S.A.,QA-02,1. Qualidade do ativo,Deterioração acelerada da inadimplência em 12 meses,alta,6,0.15527221833190785,0.1447869132832416,>=,DC (tab I) >= R$ 50 mi,33908677.17134904,3,2,True,3,2026-06-30,derivado
25295530000135,HIGH YIELD DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - RESPON. LIMIT,22213350.3,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DI-05,5. Integridade dos dados e reportes,Lacuna de reporte na série mensal,média,3,1.0,1.0,>=,PL >= R$ 10 mi,22213350.3,3,1,True,3,2026-06-30,observado
25306519000123,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GOAL NP,36923613.99,OLIVEIRA TRUST DTVM S.A.,PO-06,"8. PLD/FTP, lastro e movimentação",Aquisição relevante de créditos já vencidos ou inadimplentes,baixa,1,3.8061962100473874,0.700746704710924,>=,carteira média 12m >= R$ 10 mi,132165237.05000001,13,2,True,13,2026-06-30,observado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),246774625.41,13,3,True,13,2026-06-30,observado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,ES-03,2. Estrutura e subordinação,Colchão subordinado menor que a inadimplência líquida de provisão,crítica,10,1.0,1.0,>=,inadimplência líquida de provisão >= R$ 10 mi e sênior emitida,176583564.47,7,2,True,7,2026-06-30,derivado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,baixa,1,1.0,1.0,>=,PL >= R$ 50 mi,246774625.41,12,1,True,12,2026-06-30,observado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,IC-03,7. Inconsistências contábeis e econômicas,Resultado positivo na sênior com inadimplência alta e provisão nula,alta,6,1.0,1.0,>=,inadimplência >= R$ 10 mi,176583564.47,7,2,True,7,2026-06-30,derivado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-01,1. Qualidade do ativo,Inadimplência abrangente no topo do mercado,alta,6,1.0,0.3593440265166055,>=,DC (tab I) >= R$ 50 mi,176583564.47,13,3,True,13,2026-06-30,derivado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-03,1. Qualidade do ativo,Provisão nula diante de inadimplência material,alta,6,0.0,0.0,<=,inadimplência >= R$ 10 mi,176583564.47,13,3,True,13,2026-06-30,derivado
25316863000101,SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,246774625.41,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,QA-05,1. Qualidade do ativo,Inadimplência integralmente envelhecida (> 360 dias),média,3,1.0,1.0,>=,inadimplência >= R$ 10 mi,176583564.47,13,3,True,13,2026-06-30,derivado
25354121000162,MONEFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,0.0,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,8,1,True,8,2026-06-30,observado
25382606000160,URA FIAGRO RESPONSABILIDADE LIMITADA,655903885.92,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,533327289.23,2,3,False,3,2026-06-30,observado
25382606000160,URA FIAGRO RESPONSABILIDADE LIMITADA,655903885.92,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,alta,6,-32.34,-3.561999999999999,<=,PL >= R$ 50 mi,288451742.410555,1,2,False,1,2026-06-30,observado
25382606000160,URA FIAGRO RESPONSABILIDADE LIMITADA,655903885.92,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,GV-05,4. Governança e conflitos,Auditor independente ou custodiante ausente no registro,média,3,1.0,1.0,>=,PL >= R$ 50 mi,655903885.92,13,3,True,13,2026-06-30,observado
25970315000192,DELPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45252745.38,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PO-01,"8. PLD/FTP, lastro e movimentação",Giro anual da carteira no extremo do mercado,média,3,15.426431937840265,9.068093452089315,>=,carteira média 12m >= R$ 50 mi,797716431.6600001,13,2,True,13,2026-06-30,derivado
25970315000192,DELPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45252745.38,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,0.9100386876684659,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,47059022.949999996,13,2,True,13,2026-06-30,derivado
26142862000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,2470380152.66,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,2071765026.65,13,3,True,13,2026-06-30,derivado
26142862000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,2470380152.66,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,2058076183.62,13,3,True,13,2026-06-30,observado
26142862000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,2470380152.66,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-03,2. Estrutura e subordinação,Colchão subordinado menor que a inadimplência líquida de provisão,crítica,10,1.0,1.0,>=,inadimplência líquida de provisão >= R$ 10 mi e sênior emitida,27454464.869999997,2,2,True,2,2026-06-30,derivado
