entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
CREDIFIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21648446000105,355155990.12,2113010809.34,2113010809.34,2113010809.34,2113010809.34,1,494893849.59,4.269624306486222,4.269624306486222,4.269624306486222,True
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,13321819000100,2110355080.85,2098119640.26,2098119640.26,2098119640.26,2098119640.26,1,2098119640.26,1.0,1.0,1.0,False
ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,8719298749.48,1724660113.96,5098904799.369999,5713578790.45,5715129617.759999,25,5715129617.76,0.30177095347068733,0.8921765804794598,0.9997286452952561,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SAN MARINO,15489383000180,253403696.37,1573706951.6,1573706951.6,1573706951.6,1573706951.6,1,180382019.07,8.724300568945837,8.724300568945837,8.724300568945837,True
JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,13764696000174,1447126452.7,1431792482.99,1431792482.99,1431792482.99,1431792482.99,1,1431792482.99,1.0,1.0,1.0,False
FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,54979779000168,3677016076.94,1385627567.39,3439826712.29,3568445607.68,3568445607.68,6,3568445607.68,0.3883000386520831,0.963956604771224,1.0,False
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62838025000116,2004513902.3,1304804268.82,1815548371.9,1815548371.9,1815548371.9,4,1815548371.9,0.7186832854552377,1.0,1.0,False
CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,05754060000113,1666972490.26,1276051396.17,1276051396.17,1276051396.17,1276051396.17,1,1276051396.17,1.0,1.0,1.0,False
IFOOD I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADA,52327260000170,1389238751.96,1262880043.04,1262880043.04,1262880043.04,1262880043.04,1,1262880043.04,1.0,1.0,1.0,False
HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,38376526000143,1702368453.87,1251079163.41,1251079163.41,1251079163.41,1251079163.41,1,1251079163.41,1.0,1.0,1.0,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,5861437942.62,1220522065.85,4243751990.88,6123549374.31,7748208165.74,25,5100989658.62,0.23927162129950186,0.8319467936400574,1.2004630050488359,True
ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,32321306000136,780376793.13,1212908962.46,1212908962.46,1212908962.46,1212908962.46,1,776828770.14,1.5613594772518655,1.5613594772518655,1.5613594772518655,True
IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53300525000109,1909790565.67,991125533.64,1717026081.12,1877994816.96,1915556359.77,21,1911454523.84,0.5185190237478875,0.8982824648480756,0.982495159334065,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,63465818000108,1245855236.41,981811355.81,1245333062.9499998,1245333062.9499998,1245333062.9499998,2,1245987236.41,0.7879786623166729,0.9994749757935842,0.9994749757935842,False
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,10010957003.11,980970839.08,4405216699.59,6605318478.280001,8654890928.75,24,9443495620.98,0.10387793656626906,0.46648157381502003,0.6994569324102183,False
MEG FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,23245575000170,933138902.77,933138902.77,933138902.77,933138902.77,933138902.77,1,0.0,,,,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PORTO DESAP -RESPONSABILIDADE LIMITADA,35754011000141,896266402.0,897421755.22,897421755.22,897421755.22,897421755.22,1,897421755.22,1.0,1.0,1.0,False
FOR-TE FIDC,06182371000118,977835561.91,857254528.07,859066660.5400001,859141390.7900001,859141390.7900001,6,859141390.79,0.9978037809140299,0.9999130175186518,1.0000000000000002,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,12428086000137,1629151199.24,837771066.39,1165876878.8100002,1384378490.6400003,1756878545.0500004,25,1374614047.96,0.6094591188219679,0.8481485261555585,1.0071034067304137,True
SAPPHIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,47227790000106,1425902192.06,830942506.15,830942506.15,830942506.15,830942506.15,1,760942014.37,1.0919918869744034,1.0919918869744034,1.0919918869744034,True
