DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,26405883000103,2633629374.15,0.0,2633629374.149996,0.0
ARTESANAL CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,20441301000168,2531753764.54,0.0,2531753765.1596107,0.0
GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,29492605000129,2494236413.23,1685981886.4199998,2494236413.231075,0.6759511157308264
VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50095909000149,2489750068.19,180160035.48287594,2489750059.6059895,0.07236069130223731
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,26142862000142,2470380152.66,0.0,2470380152.648294,0.0
SOMA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,38314763000180,2464460565.77,2464460550.9777822,2464460550.9777822,1.0
ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59356753000187,2463356625.53,0.0,2463356625.5400352,0.0
FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,63662224000189,2430490971.94,323786564.1846,2430490971.931145,0.13321858337426185
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,60528786000146,2374382918.49,361608831.5517177,2374382918.491718,0.15229592023068583
VALORA GUARDIAN MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,22128298000152,2370125529.63,0.0,2370125529.6300035,0.0
AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,47228232000165,2352850421.12,,2352850421.120402,
ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,42358004000196,2341582512.2,2341582512.190126,2341582512.190126,1.0
ITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE ILIMITADA,55720253000121,2302518318.66,2302518318.649414,2302518318.649414,1.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,59929098000109,2207591119.67,547661524.260283,2207591119.663099,0.24808105059956112
EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40801446000130,2202074010.33,1116964491.3823073,2199074010.0722413,0.5079249203375443
HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52651831000127,2187326043.42,0.0,2187326043.4272943,0.0
EUV SP1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,44229197000100,2178946912.58,,2178946912.575819,
RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57719370000109,2140596574.92,0.0,2140596574.9200945,0.0
MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42154687000160,2118132225.34,895048434.993679,2118132225.3603725,0.4225649486265657
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,13321819000100,2110355080.85,78163459.10999969,2110355071.0399513,0.037038060648003614
TM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49306883000151,2100498673.09,,2100498677.0056973,
MALMO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP,32274432000187,2093695955.21,2093695955.2117841,2093695955.2117841,1.0
SOLIS CAPITAL ANTARES ADVISORY FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,34583819000140,2054273957.51,,2054273956.623047,
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54871427000194,2008347381.44,,2008347381.433302,
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62838025000116,2004513902.3,189493138.739664,2004513902.300384,0.09453321252708764
MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,23216398000101,1993263958.67,892464042.6360654,1993262085.5661325,0.4477404397036855
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DRIVER MASTER BRASIL I - RESP LIMITADA,61652768000134,1972712266.59,455518502.21250004,1972712266.6125,0.23090975299439226
MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42449510000190,1967671103.82,0.0,1967671103.8167794,0.0
DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,50114948000146,1934784988.69,259350084.2942248,1934784988.6742249,0.13404594609344142
FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKETÁ DE  RESPONSABILID,53841740000117,1918531934.02,613765264.6693747,1918531934.0227208,0.31991402060347773
IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53300525000109,1909790565.67,1909790565.6678312,1909790565.6678312,1.0
IOX II FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE  RESPONSABILIDADE LIMITADA,24504464000101,1893430371.86,721161272.7000678,1893430371.869048,0.3808755174811066
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMPLEMENTAR  AUTO-FORD,43489824000180,1883891566.03,0.0,1883891565.8800004,0.0
RHODONITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,41776416000183,1881917745.61,0.0,1881917745.6012797,0.0
