DT_COMPTC,n_veiculos,n_classes,n_fundos_legado,pl_total,dc_com_risco,dc_sem_risco,cotas_fidc_detidas,n_informou_cotas_fidc,n_informou_cotas_fidc_np,pl_liquido_circular,pl_exclusivos,pl_cotistas_interesse_unico,parcelas_inad_com_risco,parcelas_inad_sem_risco,n_cotistas,indice,pl_total_real_jun26
2017-10-31,672,0,672,93431299220.66998,28212277338.87001,50531625627.8,2390469595.44,672,672,91040829625.22998,8006847055.5,21909489040.63,1597530350.1200001,,14655.0,1.3656918643669798,146472193946.88742
2017-11-30,694,0,694,96170311041.17001,29647029711.859997,53000646221.37001,2308644771.15,694,694,93861666270.02002,7990850611.690001,21057969718.019997,1278900602.6000001,,15453.0,1.369515801587207,150345174710.2949
2017-12-31,750,0,750,115248038417.61998,33779183411.449997,61974340657.06001,3224126462.84,750,750,112023911954.77998,8774192139.509998,28159169913.619995,1308936370.2900004,,16047.0,1.3755416711141908,179380533603.56354
2018-01-31,752,0,752,116047749951.70999,37104948720.39,57378219339.93001,4504089497.120001,752,752,111543660454.59,10888880712.849998,32022568543.490005,1291287468.84,,16319.0,1.379530741960422,180102964925.92282
2018-02-28,766,0,766,113838901733.6,37004584963.35,54915646392.70999,4971266724.140001,766,766,108867635009.46,11112755130.58,31506141545.419994,1488922667.6499996,,15366.0,1.3839452403346955,176111336039.8081
2018-03-31,785,0,785,118032923450.44,39053970979.92,57838188064.57,7063052460.27,785,785,110969870990.17,11374154542.91,30132761360.070007,1630333338.48,,16595.0,1.3851907910509966,182435389917.57996
2018-04-30,798,0,798,125733367487.25006,36007644326.659996,62302201355.69,7181562096.99,798,798,118551805390.26006,11003109459.6,30021975254.01,2235025416.09,,16972.0,1.3882382107913087,193910833997.27155
2018-05-31,821,0,821,120000463113.29001,33713621411.330006,56484859974.770004,7632937859.13,821,821,112367525254.16,11120069837.44,29284083757.079998,2260278844.92,,16806.0,1.393791163634474,184332000430.2603
2018-06-30,824,0,824,126115560481.71002,36240007695.93,58818273900.23,7246615833.619999,824,824,118868944648.09003,10367209752.590002,33473664587.680004,1728782352.92,,17414.0,1.4113529322962683,191314798803.2937
2018-07-31,834,0,834,127858304986.01999,36337693052.45999,60013792558.009995,8562708757.59,834,834,119295596228.43,12180797319.59,32133778778.749992,1989683712.02,,17010.0,1.4160103969728461,193320549766.42792
2018-08-31,846,0,846,128543409266.27998,37108861405.670006,60651231048.549995,7485383976.2300005,846,846,121058025290.04999,12048144710.449999,36086405944.44,1973416758.1499999,,23803.0,1.4147359876155705,194531499318.09296
