CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,cnpj_admin,ADMIN,dc_total,situacao_registro
49950299000134,CAPITAL HILL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,23231310.71,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,20614890.4,Em Funcionamento Normal
59695343000160,MEZZO HEALTH FUND FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,22761016.92,62285390000140,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
55333029000187,POTI BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,22473139.87,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,16860033.96,Em Funcionamento Normal
60305004000100,GUARDIAN WAREHOUSE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Classe,20058146.2,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15984017.99,Em Funcionamento Normal
54287342000163,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PIX CARD CONSIG,Classe,19773110.14,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,14138432.7,Em Funcionamento Normal
46879163000197,CAPITAL MULTICRÉDITOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,Classe,19670666.45,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,19287496.93,Em Funcionamento Normal
30332628000155,CORTEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,18719653.09,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
46930099000121,BALLANGEN 82 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,17965162.92,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,12315409.7,Em Funcionamento Normal
62347912000191,ZENON HIGH YIELD DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS NÃO - PADRONIZADOS - RL,Classe,17847744.41,62264924000152,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,81401478.0,Em Funcionamento Normal
58363382000106,IPIRANGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,17041410.59,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2096775.0,Em Funcionamento Normal
32670379000133,ALLIANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,16227756.97,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13571322.2,Em Funcionamento Normal
43809819000107,SARAFINA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,Classe,15997543.57,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,29545414.47,Em Funcionamento Normal
36566257000152,ROMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,15860094.69,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,Em Funcionamento Normal
42866998000151,PRECAVIDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,14929332.83,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,9323746.01,Em Funcionamento Normal
46766118000126,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADO Q1,Classe,14464225.97,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,14396052.45,Em Funcionamento Normal
60395009000170,EC CAPITAL MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,14313344.65,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,14296009.8,Em Funcionamento Normal
37511950000190,FAST CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,14124591.71,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,14255238.95,Em Funcionamento Normal
53276025000189,KYM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Classe,14021911.56,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
58231315000120,RWM PARTENAIRES 2 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,13839590.0,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Liquidação
58073424000166,BACO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,12903777.47,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,6939563.81,Em Funcionamento Normal
61199031000108,SOLUTION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Classe,12749359.68,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,12311492.63,Em Funcionamento Normal
54003830000100,TRIUNPH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Classe,12156876.93,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,12423600.0,Em Funcionamento Normal
45810162000123,LANCE REAL FUNDO DE  INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,11875673.31,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,11916805.0,Em Funcionamento Normal
51250816000104,SATOSHINOMIKS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,11569273.13,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11253778.3,Em Funcionamento Normal
31368761000124,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGBEM,Classe,11427278.28,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11211604.04,Em Funcionamento Normal
35178750000132,DIVICASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Classe,11170610.54,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,11816053.22,Em Funcionamento Normal
59035976000142,LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,Classe,11004577.19,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,8312943.19,Em Funcionamento Normal
45145516000162,NEW DISTRESSED - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,10899197.93,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,Em Funcionamento Normal
57570843000140,GENIAL HORUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Classe,10836566.83,27652684000162,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,7574530.64,Em Funcionamento Normal
63453654000190,CYGNUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,10743224.69,13486793000142,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Liquidação
49448463000100,MANTIQUEIRA CONSIGNADO PÚBLICO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,Classe,10611047.83,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
59827367000126,DOTZFIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Classe,10182056.72,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7484972.66,Em Funcionamento Normal
58528148000183,SMASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,Classe,9755252.75,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,9772834.03,Em Funcionamento Normal
38001854000165,ALCANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,9285335.65,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,7918866.93,Em Funcionamento Normal
35265104000102,DIANTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,9281337.15,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,5347803.319999999,Em Funcionamento Normal
19476304000158,LATACHE II DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,Classe,8495589.36,00806535000154,PLANNER CORRETORA DE VALORES S.A.,26865625.72,Em Funcionamento Normal
53848229000147,FASHION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,Classe,8468782.14,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,8518982.42,Em Liquidação
33701265000176,FXN CAPITAL FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,Classe,7982821.74,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,6088950.38,Em Funcionamento Normal
58059847000121,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VOITER CONSIGNADO III - RESPONSABILIDADE LIMITADA,Classe,7828090.0,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,9203901.67,Em Funcionamento Normal
61917809000177,SAMPA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,7723069.63,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,Em Funcionamento Normal
43444591000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OUZE - RESPONSABILIDADE LIMITADA,Classe,7661363.89,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7452964.6,Em Funcionamento Normal
37910672000144,SANTOFORTE FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,Classe,7437647.54,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,5178096.87,Em Funcionamento Normal
17498332000140,CANADA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,Classe,7430586.25,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,7118343.71,Em Funcionamento Normal
56052655000168,HORTÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,6101516.97,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,561617.48,Em Funcionamento Normal
58615962000135,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,Classe,5902996.52,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,5734678.41,Em Funcionamento Normal
