entidade,cnpj,dc_com_risco,dc_sem_risco,valor,VL_PL,dc_sobre_pl
TABOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,54029912000115,996207457.94,0.0,996207457.94,985011383.52,1.0113664416547048
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29226654000110,992925206.78,0.0,992925206.78,1193589922.6,0.8318813588984636
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS III - RESPONSABILIDADE LTDA,60942242000126,0.0,979679412.7,979679412.7,1073810964.54,0.9123388054802327
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,978401838.5,0.0,978401838.5,1865513705.6,0.5244677836260224
FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,60598366000136,977194408.51,0.0,977194408.51,1013813788.76,0.9638795796072281
PINE INSS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO  FINANCEIRO RESP LIMITADA,61271872000189,970454889.45,0.0,970454889.45,1019915716.89,0.95150498553859
POTENCIAL INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58545868000157,954963657.66,0.0,954963657.66,1108025278.38,0.8618608945963891
CIB-K FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,48357568000190,952564321.3,0.0,952564321.3,1217072890.67,0.7826682597256868
VOLKSWAGEN TERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LTDA,58349979000198,951472214.89,0.0,951472214.89,1085890404.56,0.8762138526083892
PINE INSS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,63321684000143,951434183.84,0.0,951434183.84,1019657420.09,0.9330920023668554
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS IV ENERGISA CENTRO OESTE,15254301000119,0.0,951129737.52,951129737.52,1122503422.27,0.8473290313864372
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54810968000102,948587459.78,0.0,948587459.78,965301307.96,0.9826853563315666
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NOTO CONSIGNADOS - RESPONSABILIDADE LIMITADA,52989090000199,941086088.41,0.0,941086088.41,950559088.1,0.9900342863388588
MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,24069733000140,936768320.02,0.0,936768320.02,933195240.21,1.0038288663036856
EMPRESAS DE TRANSPORTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS.,52044598000114,521904583.64,404198448.56,926103032.2,927447084.08,0.998550804781134
JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,26459204000189,921420964.52,0.0,921420964.52,1036550916.66,0.8889297667007284
HAVAN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA,51344394000136,910025248.71,0.0,910025248.71,1013545604.38,0.8978631496968261
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,52720932000102,902848434.05,0.0,902848434.05,973969605.99,0.9269780376075408
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PORTO DESAP -RESPONSABILIDADE LIMITADA,35754011000141,897421755.22,0.0,897421755.22,896266402.0,1.001289073446714
ESPRESSO CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,37022236000139,896792223.67,0.0,896792223.67,709452399.8,1.2640625698395165
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOX I,19388423000159,124051471.93,760749983.99,884801455.9200001,1021885945.83,0.8658514773890381
