DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,13805152000103,234467583.91,,,,RF2 recompras/substituições > 15% da carteira (12m),496492445.84000003,216048915.9658333,2.298055714005605,,,,,,,,
TAIPATSB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,21081976000106,306003884.27,,,,RF2 recompras/substituições > 15% da carteira (12m),520772231.3099999,229446922.3058333,2.269684971480483,,,,,,,,
BRASPRESS URBANO 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60076899000158,172683489.86,,,,RF2 recompras/substituições > 15% da carteira (12m),216141431.67,119242842.90249999,1.8126155533437762,,,,,,,,
EXCLUSIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE  LIMITADA,17015979000174,256890104.05,,,,RF2 recompras/substituições > 15% da carteira (12m),313860964.31999993,226555301.7408333,1.3853613749416442,,,,,,,,
CONTINENTALBANCO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,26690689000117,139251677.92,,,,RF2 recompras/substituições > 15% da carteira (12m),164981947.19999996,133065655.93750001,1.2398537100924885,,,,,,,,
SOFISA RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,28075236000106,156560274.06,,,,RF2 recompras/substituições > 15% da carteira (12m),160667058.99,135763054.01083335,1.1834372772520234,,,,,,,,
FERT-AGRO FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,47669200000103,212788449.8,,,,RF2 recompras/substituições > 15% da carteira (12m),190484727.37999997,166177177.3725,1.1462749000304209,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS JPM III,29720639000123,284558014.72,,,,RF2 recompras/substituições > 15% da carteira (12m),291191190.4,272428418.32916665,1.0688723011567862,,,,,,,,
DEL MONTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,14605855000150,411926192.35,,,,RF2 recompras/substituições > 15% da carteira (12m),337543591.31999993,330665661.34499997,1.0208002546954034,,,,,,,,
GENESIS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,33019220000116,197463653.8,,,,RF2 recompras/substituições > 15% da carteira (12m),134593099.98,143201224.40083337,0.9398879132713387,,,,,,,,
