CNPJ,DENOM_SOCIAL,serie,esperado,realizado,gap,VL_PL
62552447000120,V CDT 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Senior Subclasse 1,0.0,2.01,2.01,167490006.72
62567209000199,PORTO JACARANDÁ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Série 1,0.0,0.0,0.0,15835425.76
62567209000199,PORTO JACARANDÁ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,0.0,1.25,1.25,15835425.76
62576847000176,ALMAM FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE  LIMITADA,Subclasse Senior Série 1,0.21,0.21,0.0,27902128.94
62576847000176,ALMAM FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE  LIMITADA,Subclasse Subordinada Subordinada 1 |,2.56,2.56,0.0,27902128.94
62588266000154,VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,Subclasse Senior Série 1,1.21,1.21,0.0,3085111034.31
62588266000154,VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.45,1.45,0.0,3085111034.31
62588266000154,VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,Subclasse Subordinada Subordinada 1 |,3.17,3.17,0.0,3085111034.31
62590185000199,BC CONSÓRCIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.29,1.29,0.0,37506944.66
62590185000199,BC CONSÓRCIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.41,1.41,0.0,37506944.66
62590185000199,BC CONSÓRCIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,1.72,1.72,0.0,37506944.66
62603858000106,CASPER FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESP LIMITADA,Subclasse Senior Série 1,-1.58,-1.58,0.0,22062963.01
62603858000106,CASPER FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESP LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,-100.0,-100.0,22062963.01
62604001000100,K BRZ FIC DE FIDC RESP LIMITADA,Subclasse Senior,0.0,0.0,0.0,41296896.72
62604001000100,K BRZ FIC DE FIDC RESP LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,1.34,1.34,41296896.72
62604155000194,LIFT CRÉDITO ESTRUTURADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPOSABILIDADE LIMITADA,Subclasse Senior Série 1,1.45,1.45,0.0,103305144.42
62604155000194,LIFT CRÉDITO ESTRUTURADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPOSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,4.81,4.81,0.0,103305144.42
62626409000175,SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.16,1.16,0.0,459711342.54
62626409000175,SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,5.73,5.73,459711342.54
62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.15,1.15,0.0,356847386.67
62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,5.66,5.66,356847386.67
62627051000103,SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.17,1.17,0.0,408290802.91
62627051000103,SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,5.23,5.23,408290802.91
62627122000160,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.21,1.21,0.0,204070143.04
62627122000160,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,3.52,3.52,204070143.04
62627243000101,LEVER I FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Série 1,1.22,1.23,0.010000000000000009,82860747.91
62627243000101,LEVER I FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,0.0,4.35,4.35,82860747.91
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.69,1.62,-0.06999999999999984,410773065.35
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 2,1.69,1.62,-0.06999999999999984,410773065.35
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,2.08,1.99,-0.09000000000000008,410773065.35
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 2,2.08,1.99,-0.09000000000000008,410773065.35
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,38.26,38.26,410773065.35
62628909000146,SPT CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Subclasse Senior,0.0,0.0,0.0,2558519.43
62628909000146,SPT CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Subclasse Subordinada Subordinada 1 |,0.0,0.4,0.4,2558519.43
62637894000182,VERDES CAMPOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Senior,0.0,0.0,0.0,77673321.21
62637894000182,VERDES CAMPOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,2.87,2.87,0.0,77673321.21
62639578000140,A4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Subclasse Senior Subclasse 1,1.12,4.43,3.3099999999999996,26121257.79
62639578000140,A4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,Subclasse Subordinada  |,0.0,0.0,0.0,26121257.79
62639652000128,PAYJOY II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS,Subclasse Senior Subclasse 1,0.0,-0.36,-0.36,5421273.75
62639652000128,PAYJOY II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS,Subclasse Subordinada  |,0.0,0.0,0.0,5421273.75
62667208000116,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATIVOS SELECIONADOS 2 - RESPONSABILIDADE LIMITADA,Subclasse Senior Subclasse 1,0.0,0.0,0.0,5991509.86
62667208000116,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATIVOS SELECIONADOS 2 - RESPONSABILIDADE LIMITADA,Subclasse Subordinada  |,0.0,0.0,0.0,5991509.86
62681110000113,ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,99.3,1.11,-98.19,1337788554.49
62681110000113,ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada  |,0.0,0.0,0.0,1337788554.49
62682407000101,PURUNÃ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Senior,0.0,0.0,0.0,3030225.4
62682407000101,PURUNÃ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,1.09,1.09,0.0,3030225.4
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,0.0,1.34,1.34,500454090.62
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,0.0,1.42,1.42,500454090.62
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 2 | Série 1,0.0,1.57,1.57,500454090.62
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 3 | Série 1,0.0,1.72,1.72,500454090.62
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,8.42,8.42,500454090.62
62682937000141,GIRO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Série 1,0.0,-99.93,-99.93,11266088.1
62682937000141,GIRO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,0.0,2.2,2.2,11266088.1
62690693000149,FIDC RANDONCORP SEGMENTO RECEBÍVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,Subclasse Senior,0.0,0.0,0.0,658827258.1
62690693000149,FIDC RANDONCORP SEGMENTO RECEBÍVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,1.39,1.39,0.0,658827258.1
62698155000109,DORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,1.0,-0.49,-1.49,1207724.66
62698155000109,DORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada  |,0.0,0.0,0.0,1207724.66
62705336000107,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.43,1.43,0.0,446968167.76
62705336000107,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.61,1.61,0.0,446968167.76
62705336000107,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 2 | Série 1,1.61,1.61,0.0,446968167.76
62705336000107,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,91.52,91.52,0.0,446968167.76
62729814000119,DIRECIONAL RECEBÍVEIS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE  RESP LTDA,Subclasse Senior Série 1,1.27,1.27,0.0,267236880.65
62729814000119,DIRECIONAL RECEBÍVEIS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE  RESP LTDA,Subclasse Subordinada Subordinada 1 |,-1.16,-1.16,0.0,267236880.65
62730534000120,DINAMO CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,0.0,0.0,0.0,8598544.65
62741028000137,CO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,Subclasse Senior Subclasse 1,1.56,1.56,0.0,4727172.4
62743103000107,STRATEGY RENDA FIXA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,0.0,1.18,1.18,13158408.28
62762366000155,VRF II FUNDO DE  INVESTIMENTO EM COTAS DE FI EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Subclasse Senior Subclasse 1,-2.16,-2.16,0.0,3979968.84
62771666000109,APOENA PRECATÓRIOS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Série 1,1.0,1.57,0.5700000000000001,42932288.52
62771666000109,APOENA PRECATÓRIOS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Mezanino 1 | Série 1,1.0,1.69,0.69,42932288.52
62771666000109,APOENA PRECATÓRIOS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,1.0,2.71,1.71,42932288.52
62772042000106,TC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,1.49,1.49,0.0,35375493.88
