tribunal,classe_nome,mes,n_processos
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11,14
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-12,12
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,6
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,6
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-03,9
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-04,13
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-05,11
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-06,14
TJRS,Recuperação Judicial,2024-08,4
TJRS,Recuperação Judicial,2024-09,5
TJRS,Recuperação Judicial,2024-10,5
TJRS,Recuperação Judicial,2024-11,5
TJRS,Recuperação Judicial,2024-12,6
TJRS,Recuperação Judicial,2025-01,8
TJRS,Recuperação Judicial,2025-02,8
TJRS,Recuperação Judicial,2025-03,12
TJRS,Recuperação Judicial,2025-04,12
TJRS,Recuperação Judicial,2025-05,9
TJRS,Recuperação Judicial,2025-06,13
TJRS,Recuperação Judicial,2025-07,17
TJRS,Recuperação Judicial,2025-08,7
TJRS,Recuperação Judicial,2025-09,10
TJRS,Recuperação Judicial,2025-10,18
TJRS,Recuperação Judicial,2025-11,11
TJRS,Recuperação Judicial,2025-12,12
TJRS,Recuperação Judicial,2026-01,8
TJRS,Recuperação Judicial,2026-02,9
TJRS,Recuperação Judicial,2026-03,9
TJRS,Recuperação Judicial,2026-04,13
TJRS,Recuperação Judicial,2026-05,6
TJRS,Recuperação Judicial,2026-06,18
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08,31
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-09,43
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-10,64
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-11,43
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12,38
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-01,32
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-02,40
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03,30
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04,43
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-05,48
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06,42
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07,49
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08,44
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-09,61
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-10,52
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11,64
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-12,55
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,51
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,67
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-03,75
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-04,61
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-05,71
TJSP,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-06,74
TJSP,Recuperação Judicial,2024-09,15
TJSP,Recuperação Judicial,2024-10,27
TJSP,Recuperação Judicial,2024-11,13
TJSP,Recuperação Judicial,2024-12,24
TJSP,Recuperação Judicial,2025-01,18
TJSP,Recuperação Judicial,2025-02,16
TJSP,Recuperação Judicial,2025-03,21
TJSP,Recuperação Judicial,2025-04,19
TJSP,Recuperação Judicial,2025-05,19
TJSP,Recuperação Judicial,2025-06,24
TJSP,Recuperação Judicial,2025-07,16
TJSP,Recuperação Judicial,2025-08,26
TJSP,Recuperação Judicial,2025-09,22
TJSP,Recuperação Judicial,2025-10,29
TJSP,Recuperação Judicial,2025-11,24
TJSP,Recuperação Judicial,2025-12,28
TJSP,Recuperação Judicial,2026-01,20
TJSP,Recuperação Judicial,2026-02,27
TJSP,Recuperação Judicial,2026-03,26
TJSP,Recuperação Judicial,2026-04,32
TJSP,Recuperação Judicial,2026-05,46
TJSP,Recuperação Judicial,2026-06,35
